epoch,train_loss,val_loss,val_mae,val_rmse,val_skill
1,0.13354453498808047,75.68377175675215,7.19540280693584,8.699642047621968,-8.22309399619847
2,0.06218647440740218,43.09667329481502,5.38927058847384,6.564805655525152,-4.25191410913098
3,0.035952319391071796,23.664722534665295,3.8787543090725722,4.86464002107713,-1.8838673769149437
4,0.02380849081479634,15.660073222404913,3.1160430407985333,3.957281039098046,-0.9083923008198311
5,0.018375511329698686,11.93366989668949,2.708078509130781,3.4545144227068283,-0.4542795188712532
6,0.015798565339840327,9.816825389406866,2.45644461294969,3.1331813527797694,-0.19631330745206266
7,0.01447243090175713,9.003859259087328,2.36049501964457,3.0006431409095162,-0.09724235919433544
8,0.01365284108518002,8.383271845449574,2.2696524027712135,2.895388030204168,-0.02161536656459706
9,0.013130606772998968,8.08754244116959,2.2373489029722933,2.8438604820155278,0.014423271967853424
10,0.012752138010303801,7.782010851831057,2.1845968923725883,2.7896255755622574,0.05165643968489175
11,0.012461539377303174,7.610853372704397,2.1598105487197823,2.7587775141726083,0.07251429971876
12,0.012195006517382959,7.3543096837283475,2.12319950199451,2.7118830512631527,0.10377762741287044
13,0.012005065034221237,7.396585235963328,2.122186655545323,2.7196663832101406,0.09862577804075412
14,0.011815779260359704,7.304251913252368,2.112904798063191,2.702637954527459,0.10987784561848468
15,0.011658695448810855,7.178419346772655,2.089060533217918,2.6792572378875184,0.125212250359244
16,0.0115323189238552,7.19086561755861,2.090974478523908,2.681578941138711,0.12369550347022862
17,0.011399365845136344,7.119253308046659,2.0785730682330383,2.668192891836469,0.13242243457557035
18,0.011262906870494286,7.266435240672633,2.0920369870409945,2.695632623462002,0.11448632003420689
19,0.011139561654999852,7.017830183546167,2.060027744899208,2.649118756029289,0.1447822177753647
20,0.011002228052044908,7.043649941188467,2.0588777907069,2.653987554829236,0.14163573014444464
21,0.010883027813785398,6.903342903664807,2.038728558665506,2.627421341099445,0.15873404548168746
22,0.010801945415247852,7.0637093256626144,2.0605172665853493,2.657763971021997,0.13919122210505197
23,0.01068520032761929,6.945243742319224,2.036991415341388,2.6353830352188323,0.1536278600411507
24,0.010603092843666673,6.94752512071857,2.04271418190252,2.6358158358881165,0.1533498431436091
25,0.010487405117601156,6.928721095549963,2.038062478986426,2.632246397195742,0.15564136862669886
26,0.010411972820293158,6.973350644446008,2.0456801707386387,2.6407102537851457,0.1502026528370165
27,0.01028459808245922,6.746461329162161,2.006704867471026,2.597395104554207,0.17785219293025767
28,0.010211364521334568,6.957419820400382,2.044084372362546,2.637692139048904,0.15214403979751245
29,0.010100672312546521,6.806308576465087,2.012429140456417,2.608890295981241,0.17055899421042275
30,0.010051053764376169,6.949811209162778,2.0300854878582903,2.6362494588264553,0.15307125226322427
31,0.009956891793990508,6.948679155416841,2.0311053325586172,2.6360347409351115,0.1532092083648452
32,0.00989042812337478,6.87309947706395,2.020351854537767,2.621659679871503,0.16241961716808995
33,0.00976544235406133,6.883845765531215,2.0180427571040576,2.623708399485586,0.1611100361794151
34,0.009712297081326446,6.946598427858739,2.0322535067405854,2.6356400414052636,0.15346277323619606
35,0.009616070912064364,6.984473159849135,2.042874792165011,2.6428153851241927,0.14884722349389512
36,0.009561902562078709,7.049108181003484,2.042337342046257,2.6550156649261947,0.14097056959946697
37,0.009457521528626481,7.01604949828419,2.0389180251814594,2.6487826445905656,0.14499921842382135
